"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"east midlands";"MMR";2;2019;0;0.8203967046068;0.8852233191;0.8852233191;0.8852233191
"east of england";"MMR";1;2005;0.691125;0.814;0.8253069290676;0.851262469370378;0.880361068238155
"east of england";"MMR";1;2006;0.696;0.843;0.838613089784504;0.835231206020865;0.852583610589886
"east of england";"MMR";1;2007;0.667125;0.856;0.862811652268011;0.847242323959418;0.837606697844785
"east of england";"MMR";1;2008;0.692925;0.842;0.87949537850832;0.869757524903647;0.849307832139583
"east of england";"MMR";1;2009;0.69795;0.839;0.87985747048712;0.8877327483368;0.871420100800474
"east of england";"MMR";1;2010;0.7086;0.8731687485;0.8852824836771;0.8931301225988;0.8897044592
"east of england";"MMR";1;2011;0.723225;0.8867070108;0.90463289982546;0.9031246946197;0.8963070872
"east of england";"MMR";1;2012;0.726075;0.9178549582;0.92343039580874;0.92480941088688;0.914538573
"east of england";"MMR";1;2013;0.726;0.9284636039;0.93124631267141;0.93704149550794;0.9315329691
"east of england";"MMR";1;2014;0.7227;0.9370632137;0.94606403834439;0.94159241790862;0.939875369
"east of england";"MMR";1;2015;0.71445;0.9386520054;0.95212531711277;0.95055720459973;0.9436621551
"east of england";"MMR";1;2016;0.7268174245125;0.9352344654;0.94962930341376;0.95869632590882;0.9548629356
"east of england";"MMR";1;2017;0.7213538188125;0.9381797987;0.94779009386106;0.95753197266928;0.9588576044
"east of england";"MMR";1;2018;0.7173723719625;0.9236101835;0.95087990449355;0.95017678202874;0.9610455142
"east of england";"MMR";1;2019;0.7188801464625;0.9129929919;0.94370338842511;0.95329405622795;0.9548618352
"east of england";"MMR";2;2005;0;0.641105220832873;0.760706546310587;0.760706546310587;0.760706546310587
"east of england";"MMR";2;2006;0;0.625053458481865;0.756555606364023;0.756555606364023;0.756555606364023
"east of england";"MMR";2;2007;0;0.633150505725339;0.737613238708833;0.737613238708833;0.737613238708833
"east of england";"MMR";2;2008;0;0.661816134005337;0.747168404207386;0.747168404207386;0.747168404207386
"east of england";"MMR";2;2009;0;0.70649680342488;0.780996145864216;0.780996145864216;0.780996145864216
